iter	Passed	Remaining
0	51	41237
1	80	31999
2	99	26548
3	117	23335
4	160	25586
5	166	22030
6	201	22810
7	238	23564
8	244	21515
9	254	20119
10	267	19176
11	274	18026
12	282	17128
13	289	16225
14	295	15488
15	304	14911
16	312	14373
17	318	13822
18	323	13306
19	328	12830
20	333	12389
21	340	12029
22	346	11709
23	352	11406
24	360	11161
25	364	10863
26	372	10672
27	379	10459
28	385	10248
29	393	10088
30	398	9894
31	404	9715
32	411	9568
33	418	9425
34	425	9298
35	430	9134
36	438	9044
37	447	8972
38	455	8891
39	461	8777
40	467	8657
41	474	8557
42	480	8455
43	486	8362
44	492	8259
45	499	8186
46	506	8114
47	512	8023
48	518	7953
49	525	7883
50	532	7818
51	540	7770
52	545	7682
53	555	7667
54	560	7597
55	566	7520
56	572	7461
57	577	7390
58	584	7344
59	590	7283
60	596	7228
61	602	7176
62	608	7122
63	615	7074
64	620	7016
65	628	6986
66	634	6942
67	639	6886
68	646	6844
69	652	6806
70	660	6784
71	666	6736
72	671	6690
73	677	6644
74	684	6618
75	690	6581
76	695	6531
77	704	6524
78	710	6485
79	717	6453
80	722	6416
81	728	6378
82	736	6358
83	745	6352
84	753	6341
85	763	6340
86	771	6323
87	789	6386
88	796	6362
89	808	6374
90	820	6390
91	828	6375
92	834	6347
93	842	6330
94	850	6313
95	860	6308
96	868	6291
97	877	6287
98	886	6276
99	894	6261
100	902	6245
101	910	6228
102	918	6217
103	925	6193
104	933	6181
105	940	6154
106	946	6131
107	953	6108
108	960	6091
109	969	6080
110	976	6058
111	981	6031
112	987	6005
113	995	5989
114	1000	5960
115	1008	5949
116	1014	5922
117	1021	5901
118	1030	5896
119	1035	5869
120	1045	5867
121	1051	5844
122	1058	5825
123	1065	5807
124	1073	5797
125	1078	5768
126	1084	5748
127	1091	5731
128	1096	5702
129	1101	5676
130	1106	5652
131	1112	5630
132	1118	5609
133	1125	5591
134	1131	5574
135	1138	5558
136	1144	5537
137	1151	5521
138	1160	5520
139	1166	5497
140	1174	5490
141	1181	5475
142	1189	5466
143	1196	5451
144	1206	5448
145	1212	5430
146	1219	5417
147	1226	5402
148	1232	5385
149	1238	5367
150	1245	5351
151	1253	5344
152	1261	5157	153	1267	5158	154	1277	5159	155	1284	5160	156	1293	5161	1297	5109
162	1307	5111
163	1318	5111
164	1328	5112
165	1339	5114
166	1349	5115
167	1360	5117
168	1370	5117
169	1381	5120
170	1392	5121
171	1401	5115
172	1410	5113
173	1421	5114
174	1431	5113
175	1441	5110
176	1451	5108
177	1462	5109
178	1470	5102
179	1480	5100
180	1490	5096
181	1501	5098
182	1512	5100
183	1522	5096
184	1531	5091
185	1540	5084
186	1550	5081
187	1560	5081
188	1571	5081
189	1582	5080
190	1591	5074
191	1602	5074
192	1612	5070
193	1622	5069
194	1633	5068
195	1643	5065
196	1653	5060
197	1661	5052
198	1670	5043
199	1681	5043
200	1691	5040
201	1701	5037
202	1712	5036
203	1724	5037
204	1734	5035
205	1745	5033
206	1755	5029
207	1764	5021
208	1774	5017
209	1783	5010
210	1794	5008
211	1804	5005
212	1813	4996
213	1823	4994
214	1835	4993
215	1846	4991
216	1857	4989
217	1867	4986
218	1877	4980
219	1888	4978
220	1897	4972
221	1907	4967
222	1918	4964
223	1928	4958
224	1938	4954
225	1949	4951
226	1959	4945
227	1970	4943
228	1982	4944
229	1992	4938
230	2003	4935
231	2013	4928
232	2023	4923
233	2032	4916
234	2044	4914
235	2053	4908
236	2061	4896
237	2070	4889
238	2082	4887
239	2089	4875
240	2097	4864
241	2104	4851
242	2110	4838
243	2117	4825
244	2124	4812
245	2131	4801
246	2139	4789
247	2145	4776
248	2152	4763
249	2159	4750
250	2166	4738
251	2172	4724
252	2179	4712
253	2186	4700
254	2193	4687
255	2198	4672
256	2205	4660
257	2212	4648
258	2219	4635
259	2225	4622
260	2230	4606
261	2237	4594
262	2243	4580
263	2249	4566
264	2256	4555
265	2264	4546
266	2271	4534
267	2278	4522
268	2284	4509
269	2290	4496
270	2297	4485
271	2304	4472
272	2310	4460
273	2315	4445
274	2320	4430
275	2326	4416
276	2330	4400
277	2337	4388
278	2344	4377
279	2350	4365
280	2357	4354
281	2363	4342
282	2370	4330
283	2376	4317
284	2382	4305
285	2388	4293
286	2395	4282
287	2401	4269
288	2408	4258
289	2412	4243
290	2418	4229
291	2423	4215
292	2429	4203
293	2434	4189
294	2439	4176
295	2445	4164
296	2451	4151
297	2456	4137
298	2461	4124
299	2467	4111
300	2472	4098
301	2477	4085
302	2483	4073
303	2488	4059
304	2493	4046
305	2498	4033
306	2504	4021
307	2509	4008
308	2514	3995
309	2519	3983
310	2525	3970
311	2530	3957
312	2535	3944
313	2540	3932
314	2546	3920
315	2551	3908
316	2556	3895
317	2562	3883
318	2567	3871
319	2572	3859
320	2578	3847
321	2583	3835
322	2589	3823
323	2594	3811
324	2599	3799
325	2606	3789
326	2613	3780
327	2618	3768
328	2624	3757
329	2630	3747
330	2636	3735
331	2642	3724
332	2647	3713
333	2652	3701
334	2658	3689
335	2663	3678
336	2668	3666
337	2673	3654
338	2679	3643
339	2684	3632
340	2689	3620
341	2695	3609
342	2700	3598
343	2705	3586
344	2710	3575
345	2715	3563
346	2720	3552
347	2725	3540
348	2731	3529
349	2737	3519
350	2743	3509
351	2748	3497
352	2753	3486
353	2757	3474
354	2763	3464
355	2769	3453
356	2774	3443
357	2781	3433
358	2786	3423
359	2792	3412
360	2797	3401
361	2803	3391
362	2808	3381
363	2814	3370
364	2820	3360
365	2825	3350
366	2830	3339
367	2835	3329
368	2841	3318
369	2846	3308
370	2852	3298
371	2857	3288
372	2863	3277
373	2869	3268
374	2875	3258
375	2880	3248
376	2886	3238
377	2891	3228
378	2897	3219
379	2904	3210
380	2911	3201
381	2917	3191
382	2924	3184
383	2931	3175
384	2938	3167
385	2944	3158
386	2950	3148
387	2957	3140
388	2964	3131
389	2970	3123
390	2976	3113
391	2982	3104
392	2988	3095
393	2994	3085
394	3000	3076
395	3007	3067
396	3013	3059
397	3020	3050
398	3026	3041
399	3032	3032
400	3037	3022
401	3043	3013
402	3048	3003
403	3053	2993
404	3059	2984
405	3066	2975
406	3071	2965
407	3077	2957
408	3083	2948
409	3090	2939
410	3096	2930
411	3102	2921
412	3108	2912
413	3113	2903
414	3118	2893
415	3123	2883
416	3129	2874
417	3134	2864
418	3139	2854
419	3144	2845
420	3151	2836
421	3156	2827
422	3166	2822
423	3173	2813
424	3179	2805
425	3186	2797
426	3192	2789
427	3199	2781
428	3206	2773
429	3215	2767
430	3221	2757
431	3227	2749
432	3234	2741
433	3241	2733
434	3246	2724
435	3252	2715
436	3257	2706
437	3263	2697
438	3269	2688
439	3274	2678
440	3279	2669
441	3284	2660
442	3290	2651
443	3294	2641
444	3300	2632
445	3309	2627
446	3320	2621
447	3330	2616
448	3337	2608
449	3348	2604
450	3358	2598
451	3365	2591
452	3375	2585
453	3380	2576
454	3385	2567
455	3391	2558
456	3396	2549
457	3402	2540
458	3407	2531
459	3412	2522
460	3417	2512
461	3422	2504
462	3428	2495
463	3433	2486
464	3439	2477
465	3444	2469
466	3450	2460
467	3456	2451
468	3461	2442
469	3466	2433
470	3472	2425
471	3478	2417
472	3484	2408
473	3491	2401
474	3497	2393
475	3504	2385
476	3511	2377
477	3518	2370
478	3525	2362
479	3531	2354
480	3539	2347
481	3546	2339
482	3553	2331
483	3559	2324
484	3565	2315
485	3571	2307
486	3577	2299
487	3584	2291
488	3591	2283
489	3596	2275
490	3605	2269
491	3612	2261
492	3619	2254
493	3624	2245
494	3629	2236
495	3635	2228
496	3640	2219
497	3646	2211
498	3652	2202
499	3656	2194
500	3664	2186
501	3670	2179
502	3676	2171
503	3681	2162
504	3686	21550505	3690	214503	3679	2161
504	3690	2155
505	3698	2148
506	3706	2141
507	3714	2134
508	3720	2127
509	3729	2120
510	3736	2113
511	3746	2107
512	3753	2099
513	3761	2092
514	3767	2085
515	3775	2077
516	3784	2071
517	3791	2063
518	3799	2056
519	3804	2048
520	3812	2041
521	3817	2033
522	3825	2026
523	3832	2018
524	3841	2012
525	3847	2004
526	3853	1996
527	3860	1988
528	3867	1981
529	3876	1974
530	3882	1966
531	3888	1959
532	3894	1951
533	3901	1943
534	3907	1935
535	3912	1927
536	3919	1919
537	3924	1911
538	3929	1902
539	3934	1894
540	3940	1886
541	3946	1878
542	3953	1871
543	3959	1863
544	3965	1855
545	3971	1847
546	3978	1840
547	3987	1833
548	3995	1826
549	4004	1820
550	4010	1812
551	4017	1805
552	4023	1796
553	4030	1789
554	4039	1783
555	4045	1775
556	4053	1768
557	4058	1760
558	4064	1752
559	4070	1744
560	4077	1736
561	4084	1729
562	4090	1721
563	4095	1713
564	4104	1707
565	4109	1699
566	4116	1691
567	4121	1683
568	4127	1675
569	4133	1667
570	4137	1659
571	4142	1651
572	4149	1643
573	4155	1635
574	4161	1628
575	4166	1620
576	4172	1612
577	4179	1605
578	4186	1597
579	4192	1590
580	4199	1582
581	4204	1574
582	4210	1567
583	4217	1559
584	4221	1551
585	4228	1544
586	4234	1536
587	4240	1528
588	4245	1520
589	4250	1512
590	4256	1505
591	4264	1498
592	4269	1490
593	4275	1482
594	4281	1475
595	4286	1467
596	4291	1459
597	4297	1451
598	4302	1443
599	4309	1436
600	4328	1433
601	4349	1430
602	4371	1428
603	4382	1422
604	4390	1415
605	4399	1408
606	4408	1401
607	4419	1395
608	4431	1389
609	4441	1383
610	4466	1381
611	4477	1375
612	4494	1371
613	4510	1366
614	4533	1363
615	4560	1362
616	4571	1355
617	4583	1349
618	4591	1342
619	4611	1338
620	4627	1333
621	4640	1327
622	4654	1322
623	4681	1320
624	4700	1316
625	4715	1310
626	4731	1305
627	4739	1298
628	4746	1290
629	4759	1284
630	4785	1281
631	4799	1275
632	4806	1268
633	4822	1262
634	4835	1256
635	4850	1250
636	4862	1244
637	4872	1237
638	4883	1230
639	4892	1223
640	4909	1217
641	4917	1210
642	4932	1204
643	4940	1196
644	4947	1188
645	4954	1181
646	4964	1173
647	4970	1165
648	4978	1158
649	4984	1150
650	4991	1142
651	4999	1134
652	5008	1127
653	5015	1119
654	5022	1111
655	5031	1104
656	5042	1097
657	5051	1090
658	5063	1083
659	5072	1075
660	5080	1068
661	5090	1061
662	5099	1053
663	5106	1046
664	5116	1038
665	5129	1032
666	5137	1024
667	5146	1016
668	5156	1009
669	5164	1002
670	5175	994
671	5185	987
672	5194	980
673	5208	973
674	5219	966
675	5230	959
676	5242	952
677	5258	946
678	5272	939
679	5280	931
680	5291	924
681	5302	917
682	5312	910
683	5321	902
684	5331	895
685	5340	887
686	5350	879
687	5358	872
688	5371	865
689	5381	857
690	5389	850
691	5400	842
692	5413	835
693	5424	828
694	5432	820
695	5441	813
696	5456	806
697	5470	799
698	5481	792
699	5490	784
700	5499	776
701	5511	769
702	5521	761
703	5535	754
704	5546	747
705	5554	739
706	5565	732
707	5573	724
708	5580	716
709	5588	708
710	5597	700
711	5611	693
712	5621	685
713	5635	678
714	5644	670
715	5651	662
716	5665	655
717	5671	647
718	5677	639
719	5685	631
720	5697	624
721	5707	616
722	5712	608
723	5725	601
724	5831	603
725	5853	596
726	5881	590
727	5888	582
728	5895	574
729	5903	566
730	5909	557
731	5915	549
732	5934	542
733	5944	534
734	5953	526
735	5965	518
736	5972	510
737	5977	502
738	5983	493
739	5989	485
740	5996	477
741	6002	469
742	6007	460
743	6012	452
744	6018	444
745	6025	436
746	6033	428
747	6038	419
748	6044	411
749	6049	403
750	6055	395
751	6062	386
752	6067	378
753	6072	370
754	6078	362
755	6084	354
756	6089	345
757	6097	337
758	6104	329
759	6111	321
760	6117	313
761	6123	305
762	6130	297
763	6136	289
764	6142	281
765	6148	272
766	6153	264
767	6159	256
768	6164	248
769	6168	240
770	6176	232
771	6180	224
772	6183	215
773	6187	207
774	6192	199
775	6197	191
776	6202	183
777	6207	175
778	6211	167
779	6216	159
780	6223	151
781	6228	143
782	6232	135
783	6237	127
784	6241	119
785	6245	111
786	6248	103
787	6253	95
788	6257	87
789	6261	79
790	6265	71
791	6269	63
792	6274	55
793	6278	47
794	6281	39
795	6285	31
796	6288	23
797	6291	15
798	6295	7
799	6299	0
8	6250	7
799	6256	0
